Team,MaleCount,FemaleCount,TotalCount
30. Februar,2.0,0.0,2.0
A North American Team,4.0,0.0,4.0
Acipactli,3.0,0.0,3.0
Acturus,2.0,0.0,2.0
Afghanistan,121.0,5.0,126.0
Akatonbo,3.0,0.0,3.0
Alain IV,3.0,0.0,3.0
Albania,38.0,25.0,63.0
Alcaid,3.0,0.0,3.0
Alcyon-6,1.0,0.0,1.0
Alcyon-7,2.0,0.0,2.0
Aldebaran,2.0,0.0,2.0
Aldebaran II,2.0,0.0,2.0
Aletta,3.0,0.0,3.0
Algeria,449.0,90.0,539.0
Ali-Baba II,7.0,0.0,7.0
Ali-Baba IV,2.0,0.0,2.0
Ali-Baba IX,2.0,0.0,2.0
Ali-Baba VI,2.0,0.0,2.0
Allegro,3.0,0.0,3.0
Almaz,2.0,0.0,2.0
Aloha II,5.0,0.0,5.0
Amateur Athletic Association,5.0,0.0,5.0
American Samoa,28.0,7.0,35.0
Amolgavar,3.0,0.0,3.0
Amstel Amsterdam,4.0,0.0,4.0
Amulet-3,4.0,0.0,4.0
Amulet-7,2.0,0.0,2.0
Ancora,3.0,1.0,4.0
Andorinha,2.0,0.0,2.0
Andorra,40.0,13.0,53.0
Andromeda,3.0,0.0,3.0
Angelita,17.0,1.0,18.0
Angerburg,1.0,0.0,1.0
Angola,138.0,129.0,267.0
Anitra,6.0,0.0,6.0
Antares,2.0,0.0,2.0
Antigua and Barbuda,96.0,37.0,133.0
Antwerpia V,10.0,0.0,10.0
Apache,5.0,0.0,5.0
Aphrodite,3.0,0.0,3.0
Arcturus,2.0,0.0,2.0
Ardilla,3.0,0.0,3.0
Aretusa,3.0,0.0,3.0
Argentina,2303.0,526.0,2829.0
Argentina-1,10.0,0.0,10.0
Argentina-2,10.0,0.0,10.0
Argeste,3.0,0.0,3.0
Argo II,3.0,0.0,3.0
Argonaut Rowing Club,6.0,0.0,6.0
Argus,4.0,0.0,4.0
Ariel,2.0,0.0,2.0
Ariette-10,2.0,0.0,2.0
Ariette-8,1.0,0.0,1.0
Armenia,152.0,22.0,174.0
Aruba,26.0,16.0,42.0
Aschenbrodel,12.0,0.0,12.0
Astrid III,3.0,0.0,3.0
Atalanta Boat Club-1,2.0,0.0,2.0
Atalanta Boat Club-2,2.0,0.0,2.0
Athens-2,11.0,0.0,11.0
Atlanta,9.0,0.0,9.0
Augsburg,1.0,0.0,1.0
Ausonia,3.0,0.0,3.0
Australasia,75.0,2.0,77.0
Australia,4450.0,2526.0,6976.0
Australia-1,12.0,24.0,36.0
Australia-2,12.0,24.0,36.0
Australia/Great Britain,2.0,0.0,2.0
Austria,2318.0,594.0,2912.0
Austria-1,10.0,0.0,10.0
Austria-2,8.0,0.0,8.0
Azerbaijan,201.0,64.0,265.0
"BLO Polo Club, Rugby",4.0,0.0,4.0
Babe,5.0,0.0,5.0
Baby-1,2.0,0.0,2.0
Baby-9,1.0,0.0,1.0
Baccara,3.0,0.0,3.0
"Bagatelle Polo Club, Paris",4.0,0.0,4.0
Bahamas,248.0,100.0,348.0
Bahrain,95.0,31.0,126.0
Bajazzo,3.0,0.0,3.0
Balaton,2.0,0.0,2.0
Ballerina IV,3.0,0.0,3.0
Bamba,6.0,0.0,6.0
Bangladesh,42.0,13.0,55.0
Barbados,180.0,39.0,219.0
Barco Deloro,4.0,0.0,4.0
Barion/Bari-2,3.0,0.0,3.0
Barrenjoey,3.0,0.0,3.0
Beatrijs III-1,3.0,0.0,3.0
Beaver,4.0,0.0,4.0
Belarus,683.0,559.0,1242.0
Belgium,2920.0,565.0,3485.0
Belgium-1,13.0,2.0,15.0
Belgium-2,8.0,2.0,10.0
Belgium-3,3.0,1.0,4.0
Belgium-4,3.0,1.0,4.0
Belize,67.0,9.0,76.0
Bella,2.0,0.0,2.0
Bellatrix IX,3.0,0.0,3.0
Bellatrix XIII,2.0,0.0,2.0
Bem II,4.0,0.0,4.0
Benin,57.0,14.0,71.0
Bera,5.0,0.0,5.0
Berliner Ruderclub,2.0,0.0,2.0
Berliner Ruderclub Sport-Borussia-1,9.0,0.0,9.0
Berliner Ruderverein von 1876-2,9.0,0.0,9.0
Bermuda,150.0,41.0,191.0
Bermudes,3.0,0.0,3.0
Bermudian,2.0,0.0,2.0
Bhutan,19.0,17.0,36.0
Bim,3.0,0.0,3.0
Bingo,3.0,0.0,3.0
Bissbi,4.0,0.0,4.0
Blue Red,5.0,0.0,5.0
Bluebottle,3.0,0.0,3.0
