Year,Event,AverageWeight
1896,"Athletics Men's 1,500 metres",45.0
1896,Athletics Men's 100 metres,70.85714285714286
1896,Athletics Men's 110 metres Hurdles,69.5
1896,Athletics Men's 400 metres,66.0
1896,Athletics Men's 800 metres,
1896,Athletics Men's Discus Throw,81.0
1896,Athletics Men's High Jump,69.66666666666667
1896,Athletics Men's Long Jump,71.75
1896,Athletics Men's Marathon,106.0
1896,Athletics Men's Pole Vault,
1896,Athletics Men's Shot Put,69.0
1896,Athletics Men's Triple Jump,66.0
1896,"Cycling Men's 10,000 metres",
1896,Cycling Men's 100 kilometres,
1896,Cycling Men's 12-Hours Race,
1896,Cycling Men's 333 metres Time Trial,
1896,"Cycling Men's Road Race, Individual",
1896,Cycling Men's Sprint,
1896,"Fencing Men's Foil, Individual",
1896,"Fencing Men's Foil, Masters, Individual",
1896,"Fencing Men's Sabre, Individual",
1896,Gymnastics Men's Horizontal Bar,66.0
1896,"Gymnastics Men's Horizontal Bar, Teams",66.0
1896,Gymnastics Men's Horse Vault,66.0
1896,Gymnastics Men's Parallel Bars,66.0
1896,"Gymnastics Men's Parallel Bars, Teams",66.0
1896,Gymnastics Men's Pommelled Horse,66.0
1896,Gymnastics Men's Rings,70.0
1896,Gymnastics Men's Rope Climbing,79.0
1896,"Shooting Men's Free Pistol, 30 metres",
1896,"Shooting Men's Free Rifle, Three Positions, 300 metres",
1896,"Shooting Men's Military Pistol, 25 metres",
1896,"Shooting Men's Military Rifle, 200 metres",
1896,"Shooting Men's Muzzle-Loading Pistol, 25 metres",
1896,"Swimming Men's 1,200 metres Freestyle",
1896,Swimming Men's 100 metres Freestyle,
1896,Swimming Men's 100 metres Freestyle For Sailors,
1896,Swimming Men's 500 metres Freestyle,
1896,Tennis Men's Doubles,
1896,Tennis Men's Singles,
1896,"Weightlifting Men's Unlimited, One Hand",102.0
1896,"Weightlifting Men's Unlimited, Two Hands",86.0
1896,"Wrestling Men's Unlimited Class, Greco-Roman",86.0
1900,"Archery Men's Au Chapelet, 33 metres",
1900,"Archery Men's Au Chapelet, 50 metres",
1900,"Archery Men's Au Cordon Dore, 33 metres",
1900,"Archery Men's Au Cordon Dore, 50 metres",
1900,Archery Men's Championnat Du Monde,
1900,Archery Men's Sur La Perche a La Herse,
1900,Archery Men's Sur La Perche a La Pyramide,
1900,Archery Men's Unknown Event,
1900,"Athletics Men's 1,500 metres",
1900,Athletics Men's 100 metres,67.57142857142857
1900,Athletics Men's 110 metres Hurdles,75.0
1900,"Athletics Men's 2,500 metres Steeplechase",67.66666666666667
1900,Athletics Men's 200 metres,67.5
1900,Athletics Men's 200 metres Hurdles,67.25
1900,"Athletics Men's 4,000 metres Steeplechase",76.0
1900,Athletics Men's 400 metres,75.0
1900,Athletics Men's 400 metres Hurdles,65.66666666666667
1900,"Athletics Men's 5,000 metres, Team",69.0
1900,Athletics Men's 60 metres,74.0
1900,Athletics Men's 800 metres,70.0
1900,Athletics Men's Discus Throw,91.2
1900,Athletics Men's Hammer Throw,91.0
1900,Athletics Men's High Jump,88.0
1900,Athletics Men's Long Jump,79.0
1900,Athletics Men's Marathon,57.5
1900,Athletics Men's Pole Vault,88.0
1900,Athletics Men's Shot Put,85.5
1900,Athletics Men's Standing High Jump,79.0
1900,Athletics Men's Standing Long Jump,79.0
1900,Athletics Men's Standing Triple Jump,72.66666666666667
1900,Athletics Men's Triple Jump,73.0
1900,Basque Pelota Men's Two-Man Teams With Cesta,
1900,Cricket Men's Cricket,
1900,Croquet Mixed Doubles,
1900,"Croquet Mixed Singles, One Ball",
1900,"Croquet Mixed Singles, Two Balls",
1900,Cycling Men's 25 kilometres,
1900,Cycling Men's Points Race,
1900,Cycling Men's Sprint,
1900,Equestrianism Mixed Four-In-Hand Competition,
