"source","target","value"
2004,2004,1
2008,2004,0.557588805166846
1992,2004,0.10032693093584
1996,2004,0.254106955609927
1932,2004,0
1936,2004,0.0021978021978022
1948,2004,0.00148148148148148
1928,2004,0
1952,2004,0.00161899622234215
1960,2004,0.000884564352056612
1968,2004,0.00111982082866741
1924,2004,0.00182149362477231
1964,2004,0.00167855644146034
2012,2004,0.249557806721338
1984,2004,0.013328530259366
1988,2004,0.0370729343348679
2016,2004,0.142679900744417
2000,2004,0.565556458164094
1972,2004,0.00193610842207164
1976,2004,0.00251617541337168
1956,2004,0.000623052959501558
1980,2004,0.00479616306954436
1920,2004,0.00124069478908189
1908,2004,0
1900,2004,0
1912,2004,0
1906,2004,0
1904,2004,0
1896,2004,0
2004,2008,0.563218390804598
2008,2008,1
1992,2008,0.0398447078054761
1996,2008,0.0938483047885355
1932,2008,0
1936,2008,0.0021978021978022
1948,2008,0.00222222222222222
1928,2008,0
1952,2008,0.00161899622234215
1960,2008,0.00132684652808492
1968,2008,0.00111982082866741
1924,2008,0.000910746812386157
1964,2008,0.00125891733109526
2012,2008,0.575976845151954
1984,2008,0.00756484149855908
1988,2008,0.0164768597043858
2016,2008,0.399255583126551
2000,2008,0.246141348497157
1972,2008,0.00129073894804776
1976,2008,0.00323508267433501
1956,2008,0.00186915887850467
1980,2008,0.00287769784172662
1920,2008,0
1908,2008,0
1900,2008,0
1912,2008,0
1906,2008,0
1904,2008,0
1896,2008,0
2004,1992,0.0762659210935073
2008,1992,0.0299861602337383
1992,1992,1
1996,1992,0.498427123383432
1932,1992,0.00143061516452074
1936,1992,0.0021978021978022
1948,1992,0.000740740740740741
1928,1992,0
1952,1992,0.000539665407447383
1960,1992,0.00132684652808492
1968,1992,0.00410600970511385
1924,1992,0
1964,1992,0.00377675199328577
2012,1992,0.0125422093584178
1984,1992,0.23306916426513
1988,1992,0.582505451902108
2016,1992,0.00794044665012407
2000,1992,0.201137286758733
1972,1992,0.0116166505324298
1976,1992,0.0240833932422717
1956,1992,0.00124610591900312
1980,1992,0.0724220623501199
1920,1992,0
1908,1992,0
1900,1992,0
1912,1992,0
1906,1992,0.0040983606557377
1904,1992,0
1896,1992,0.0571428571428571
2004,1996,0.225846536191364
2008,1996,0.0825772720282946
1992,1996,0.58275439313445
1996,1996,1
1932,1996,0.00143061516452074
1936,1996,0.0021978021978022
1948,1996,0
1928,1996,0.00094876660341556
1952,1996,0.00107933081489477
1960,1996,0.00132684652808492
1968,1996,0.00261291526689063
1924,1996,0.000910746812386157
1964,1996,0.00335711288292069
2012,1996,0.0361794500723589
1984,1996,0.0951008645533141
1988,1996,0.249818269929731
2016,1996,0.0208436724565757
2000,1996,0.541835905767669
1972,1996,0.00580832526621491
1976,1996,0.011861969805895
1956,1996,0.00124610591900312
1980,1996,0.0249400479616307
1920,1996,0
1908,1996,0.0017921146953405
1900,1996,0
1912,1996,0
1906,1996,0
1904,1996,0
1896,1996,0
2004,1932,0
2008,1932,0
1992,1932,0.000204331834899877
1996,1932,0.000174764068507515
1932,1932,1
1936,1932,0.447252747252747
1948,1932,0.0496296296296296
1928,1932,0.325426944971537
1952,1932,0.00809498111171074
1960,1932,0.00176912870411322
1968,1932,0.000373273609555804
1924,1932,0.0910746812386157
1964,1932,0.000839278220730172
2012,1932,0
1984,1932,0
1988,1932,0
2016,1932,0
2000,1932,0.00016246953696182
1972,1932,0.000322684737011939
1976,1932,0
1956,1932,0.0043613707165109
1980,1932,0.000479616306954436
1920,1932,0.0210918114143921
1908,1932,0.003584229390681
1900,1932,0
1912,1932,0.00970873786407767
1906,1932,0.0040983606557377
1904,1932,0
1896,1932,0.0285714285714286
2004,1936,0.000310655483069276
2008,1936,0.000307550361371675
1992,1936,0.000408663669799755
1996,1936,0.00034952813701503
1932,1936,0.582260371959943
1936,1936,1
1948,1936,0.218518518518519
1928,1936,0.261859582542694
1952,1936,0.0588235294117647
1960,1936,0.00884564352056612
1968,1936,0.00186636804777902
1924,1936,0.0765027322404372
1964,1936,0.00251783466219052
2012,1936,0.000321595111754301
1984,1936,0
1988,1936,0.000242306760358614
2016,1936,0.000992555831265509
2000,1936,0.000324939073923639
1972,1936,0.00129073894804776
1976,1936,0.000359453630481668
1956,1936,0.0186915887850467
1980,1936,0.000959232613908873
1920,1936,0.032258064516129
1908,1936,0.003584229390681
1900,1936,0.00970873786407767
1912,1936,0.00970873786407767
1906,1936,0.0040983606557377
1904,1936,0
1896,1936,0
2004,1948,0.000310655483069276
2008,1948,0.000461325542057512
1992,1948,0.000204331834899877
1996,1948,0
1932,1948,0.0958512160228898
1936,1948,0.324175824175824
1948,1948,1
1928,1948,0.0493358633776091
1952,1948,0.54236373448462
1960,1948,0.0579389650597081
1968,1948,0.00634565136244868
1924,1948,0.0127504553734062
1964,1948,0.0163659253042384
2012,1948,0.000160797555877151
1984,1948,0.000720461095100865
1988,1948,0.000484613520717228
2016,1948,0.000248138957816377
2000,1948,0.00016246953696182
1972,1948,0.00258147789609551
1976,1948,0.001078360891445
1956,1948,0.136448598130841
1980,1948,0.00191846522781775
1920,1948,0.00620347394540943
1908,1948,0.00537634408602151
1900,1948,0.00970873786407767
1912,1948,0.00485436893203883
1906,1948,0
1904,1948,0
1896,1948,0
2004,1928,0
2008,1928,0
1992,1928,0
1996,1928,0.000174764068507515
1932,1928,0.490701001430615
1936,1928,0.303296703296703
1948,1928,0.0385185185185185
1928,1928,1
1952,1928,0.00485698866702644
1960,1928,0.00221141088014153
1968,1928,0.00111982082866741
1924,1928,0.510018214936248
1964,1928,0.000419639110365086
2012,1928,0
1984,1928,0
1988,1928,0.000242306760358614
2016,1928,0
2000,1928,0
1972,1928,0
1976,1928,0.000718907260963336
1956,1928,0.00311526479750779
1980,1928,0.000479616306954436
1920,1928,0.176178660049628
1908,1928,0.0340501792114695
1900,1928,0.00970873786407767
1912,1928,0.0614886731391586
1906,1928,0.0245901639344262
1904,1928,0
1896,1928,0.0285714285714286
2004,1952,0.000465983224603914
2008,1952,0.000461325542057512
1992,1952,0.000204331834899877
1996,1952,0.00034952813701503
1932,1952,0.0214592274678112
1936,1952,0.11978021978022
1948,1952,0.744444444444444
1928,1952,0.00853889943074004
1952,1952,1
1960,1952,0.188854489164087
1968,1952,0.0156774916013438
1924,1952,0.00728597449908925
1964,1952,0.0469995803608896
2012,1952,0.000160797555877151
1984,1952,0.0010806916426513
1988,1952,0.00121153380179307
2016,1952,0.000496277915632754
2000,1952,0
1972,1952,0.00548564052920297
1976,1952,0.00215672178289001
1956,1952,0.508411214953271
